vram,name,size_bytes,status,callers,subsystem
0x00100000,func_00100000,4,word,0,lowmem
0x00100004,func_00100004,4,word,0,lowmem
0x00100008,_start,160,undecompiled,0,lowmem
0x001000A8,func_001000A8,8,word,0,lowmem
0x001000B0,func_001000B0,8,undecompiled,0,lowmem
0x001000C0,func_001000C0,32,readable,4,lowmem
0x001000E0,func_001000E0,36,readable,4,lowmem
0x00100110,func_00100110,32,readable,1,lowmem
0x00100130,func_00100130,36,readable,1,lowmem
0x00100158,func_00100158,272,word,1,lowmem
0x00100268,func_00100268,12,readable,7,lowmem
0x00100278,vu1_cold_start,104,undecompiled,2,lowmem
0x001002E0,func_001002E0,624,undecompiled,3,lowmem
0x00100550,func_00100550,188,readable,4,lowmem
0x00100610,func_00100610,200,readable,3,lowmem
0x001006D8,func_001006D8,484,word,4,lowmem
0x001008C0,func_001008C0,260,word,2,lowmem
0x001009C8,func_001009C8,148,word,2,lowmem
0x00100A60,dma_wait_and_submit,788,undecompiled,6,lowmem
0x00100D78,gs_readback_build_packet,320,undecompiled,2,lowmem
0x00100EB8,gs_vram_readback,1676,undecompiled,2,lowmem
0x00101548,func_00101548,96,readable,2,lowmem
0x001015A8,func_001015A8,136,word,3,lowmem
0x00101630,func_00101630,480,word,1,lowmem
0x00101810,func_00101810,136,word,3,lowmem
0x00101898,func_00101898,740,word,2,lowmem
0x00101B80,func_00101B80,52,readable,2,lowmem
0x00101BB8,dmac_channel_base,40,readable,6,lowmem
0x00101BE0,dmac_reset,220,undecompiled,1,lowmem
0x00101CC0,func_00101CC0,16,readable,0,lowmem
0x00101CD0,func_00101CD0,472,undecompiled,3,lowmem
0x00101EA8,func_00101EA8,56,readable,1,lowmem
0x00101EE0,func_00101EE0,40,word,0,lowmem
0x00101F08,func_00101F08,216,undecompiled,2,lowmem
0x00101FE0,dma_kick,228,undecompiled,4,lowmem
0x001020C8,func_001020C8,228,undecompiled,0,lowmem
0x001021B0,func_001021B0,196,undecompiled,0,lowmem
0x00102278,func_00102278,236,undecompiled,0,lowmem
0x00102368,func_00102368,240,undecompiled,0,lowmem
0x00102458,func_00102458,12,readable,0,lowmem
0x00102468,func_00102468,196,undecompiled,5,lowmem
0x00102530,func_00102530,208,undecompiled,0,lowmem
0x00102600,func_00102600,36,readable,0,lowmem
0x00102628,func_00102628,12,readable,0,lowmem
0x00102638,func_00102638,28,readable,0,lowmem
0x00102658,func_00102658,28,readable,0,lowmem
0x00102678,func_00102678,36,readable,0,lowmem
0x001026A0,func_001026A0,44,word,227,lowmem
0x001026D0,func_001026D0,68,word,35,lowmem
0x00102718,func_00102718,28,word,8,lowmem
0x00102738,func_00102738,36,word,44,lowmem
0x00102760,func_00102760,52,word,72,lowmem
0x00102798,func_00102798,68,word,8,lowmem
0x001027E0,func_001027E0,108,word,2,lowmem
0x00102850,func_00102850,32,word,2,lowmem
0x00102870,func_00102870,32,word,2,lowmem
0x00102890,func_00102890,40,word,0,lowmem
0x001028B8,func_001028B8,20,word,139,lowmem
0x001028D0,func_001028D0,20,word,81,lowmem
0x001028E8,func_001028E8,20,word,4,lowmem
0x00102900,func_00102900,24,word,22,lowmem
0x00102918,func_00102918,44,word,47,lowmem
0x00102948,func_00102948,12,word,222,lowmem
0x00102958,copy_qw4,36,readable,90,lowmem
0x00102980,func_00102980,16,word,0,lowmem
0x00102990,func_00102990,16,word,2,lowmem
0x001029A0,func_001029A0,16,word,0,lowmem
0x001029B0,func_001029B0,16,word,0,lowmem
0x001029C0,func_001029C0,40,word,160,lowmem
0x001029E8,func_001029E8,116,undecompiled,3,lowmem
0x00102A60,func_00102A60,164,word,13,lowmem
0x00102B08,func_00102B08,168,word,30,lowmem
0x00102BB0,func_00102BB0,168,word,78,lowmem
0x00102C58,func_00102C58,80,readable,50,lowmem
0x00102CA8,func_00102CA8,36,word,0,lowmem
